drugbank_id 	 rxnorm_cui
DB00454	103755
DB00454	1852405
DB00454	1822883
DB00454	6754
DB00454	1840564
DB00454	1848153
DB00455	352401
DB00455	28889
DB00455	203576
DB00456	9860
DB00456	227540
DB00456	2236
DB00457	203210
DB00457	8629
DB00458	150816
DB00458	5691
DB00458	203772
DB00458	1807133
DB00458	91118
DB00458	1815245
DB00458	1834286
DB00459	16818
DB00459	1805159
DB00459	196467
DB00460	118886
DB00461	203754
DB00461	152290
DB00461	31448
DB00462	219055
DB00462	56092
DB00463	6825
DB00464	152700
DB00464	9913
DB00465	35827
DB00465	28200
DB00465	57309
DB00466	8320
DB00467	203733
DB00467	3925
DB00468	9074
DB00468	9075
DB00468	9071
DB00469	196497
DB00469	37790
DB00470	10402
DB00471	88249
DB00471	115713
DB00471	1372747
DB00472	227224
DB00472	4493
DB00472	58827
DB00473	1546032
DB00473	26879
DB00474	227282
DB00474	6847
DB00474	91185
DB00475	1834188
DB00475	2356
DB00475	152462
DB00475	218007
DB00475	1830866
DB00475	1824838
DB00475	203173
DB00475	3804
DB00475	1853758
DB00475	1839379
DB00475	3045
DB00476	72625
DB00476	1837028
DB00476	476250
DB00477	340704
DB00477	227446
DB00477	104728
DB00477	2403
DB00477	202376
DB00477	154978
DB00478	9386
DB00478	82093
DB00479	203503
DB00479	641
DB00479	643
DB00479	1835661
DB00479	1851993
DB00479	1849982
DB00480	337535
DB00480	342369
DB00480	337178
DB00481	166551
DB00481	72143
DB00482	215927
DB00482	140587
DB00483	151770
DB00483	4639
DB00484	39171
DB00484	134615
DB00485	267257
DB00485	3356
DB00485	3710
DB00486	31447
DB00486	385716
DB00487	262299
DB00487	1819027
DB00487	7960
DB00488	5296
DB00488	468744
DB00488	153474
DB00489	7008
DB00489	151430
DB00489	9947
DB00489	152373
DB00490	1827
DB00490	203116
DB00490	154990
DB00491	217372
DB00491	30009
DB00492	225030
DB00492	227278
DB00492	50166
DB00493	203117
DB00493	2186
DB00494	262112
DB00494	227109
DB00494	60307
DB00495	11413
DB00496	485417
DB00496	136198
DB00497	218989
DB00497	82063
DB00497	159821
DB00497	7804
DB00498	8130
DB00499	4508
DB00499	151668
DB00500	10636
DB00500	220336
DB00500	227207
DB00500	42935
DB00501	1851750
DB00501	1854256
DB00501	2541
DB00501	1851026
DB00501	91251
DB00502	152355
DB00502	5093
DB00502	217483
DB00502	26420
DB00503	85762
DB00503	196479
DB00504	6370
DB00504	6471
DB00504	235419
DB00505	38617
DB00505	54421
DB00507	1834521
DB00507	352403
DB00507	1845040
DB00507	1815569
DB00507	31819
DB00508	10805
DB00508	91125
DB00508	220783
DB00509	227544
DB00509	40070
DB00509	3292
DB00511	132871
DB00511	554
DB00511	16782
DB00512	202368
DB00512	11124
DB00512	261691
DB00512	66955
DB00513	99
DB00513	468789
DB00513	1841134
DB00513	204292
DB00514	91965
DB00514	220434
DB00514	220817
DB00514	539765
DB00514	102490
DB00514	3289
DB00515	2555
DB00515	219265
DB00516	134568
DB00516	320494
DB00517	17945
DB00518	1006814
DB00518	1311504
DB00518	1835564
DB00518	1311295
DB00518	430
DB00518	1805574
DB00519	38454
DB00519	218245
DB00520	140108
DB00520	282363
DB00521	215910
DB00521	142132
DB00521	218856
DB00521	2116
DB00522	18896
DB00523	81864
DB00524	203798
DB00524	6916
DB00524	203794
DB00524	402957
DB00525	220322
DB00525	594450
DB00525	1039330
DB00525	1824137
DB00525	217303
DB00525	864159
DB00525	218560
DB00525	10637
DB00526	32592
DB00527	3339
DB00527	235402
DB00528	135056
DB00528	1845235
DB00529	33562
DB00529	57529
DB00529	114195
DB00530	337527
DB00530	337525
DB00530	477320
DB00531	202590
DB00531	202591
DB00531	202589
DB00531	1545988
DB00531	267437
DB00531	1820383
DB00531	3002
DB00532	258358
DB00532	6757
DB00533	232158
DB00533	262149
DB00534	2371
DB00535	25037
DB00535	1306064
DB00535	83099
DB00536	50676
DB00536	50675
DB00537	2551
DB00537	602786
DB00537	151517
DB00537	81981
DB00538	228833
DB00539	38409
DB00539	49953
DB00540	1836603
DB00540	135820
DB00540	1846589
DB00540	1821907
DB00540	1851778
DB00540	1843928
DB00540	203130
DB00540	7531
DB00541	11203
DB00541	11202
DB00541	152151
DB00542	218088
DB00542	235758
DB00542	18867
DB00543	203531
DB00543	722
DB00544	4492
DB00544	224945
DB00545	203001
DB00545	219602
DB00545	9001
DB00545	9000
DB00546	17048
DB00547	220346
DB00547	3255
DB00548	18602
DB00548	215499
DB00548	352645
DB00548	284737
DB00548	1227287
DB00549	114970
DB00549	135092
DB00549	135093
DB00550	10995
DB00550	8794
DB00551	16728
DB00551	52110
DB00552	227353
DB00552	152115
DB00552	8011
DB00553	6854
DB00553	285101
DB00553	1576003
DB00553	227717
DB00553	227715
DB00553	227713
DB00553	39813
DB00554	68115
DB00554	8356
DB00554	197288
DB00555	579544
DB00555	196502
