rxcui 	 drugbank ids with divided |
31448	DB00461
979111	DB06800
55471	DB00863
1894	DB00136
1311625	DB00653
1311626	DB00715
196213	DB11257
1862951	DB12836
714438	DB06589
1307037	DB02210
39230	DB12661
228656	DB00701
7773	DB00713
236770	DB09295
7779	DB00621
7778	DB01096
1371313	DB12938
19484	DB00612
1300700	DB04871
1371319	DB08896
237162	DB09214
196102	DB00074
259318	DB00885
78903	DB00314
78902	DB01298
1040004	DB06590
4792	DB11619
266974	DB00595
5832	DB04566
5833	DB13178
60842	DB00234
221071	DB00438
221072	DB00439
19008	DB00562
35255	DB00604
1723734	DB09570
1723735	DB09570
221079	DB04272
55672	DB00615
1358492	DB08895
261435	DB09517
82027	DB01275
60207	DB00869
19790	DB09017
139462	DB00218
42562	DB01139
6084	DB01321
42569	DB06719
1364468	DB08900
29495	DB12148
23370	DB01231
6646	DB00934
119771	DB06211
42319	DB00585
259335	DB11783
897018	DB06637
10811	DB00376
1535218	DB09036
10814	DB00279
56524	DB13707
10819	DB09089
6711	DB01065
402365	DB01319
253337	DB00112
32639	DB11610
32638	DB00239
7801	DB01580
7804	DB00497
7806	DB09140
235782	DB01466
3648	DB00450
19861	DB11148
19860	DB00241
436212	DB00715
3642	DB00366
3640	DB00254
2550	DB00827
2551	DB00537
6398	DB01627
26051	DB11323
2555	DB00515
2556	DB00215
61	DB03107
42368	DB01228
302379	DB00043
2396	DB00880
2397	DB00269
24913	DB11171
2393	DB00608
21241	DB00349
623033	DB01046
2399	DB00856
10178	DB01582
20610	DB00341
10324	DB00675
20614	DB01718
20615	DB09494
4890	DB00143
1742746	DB04027
1742747	DB03929
190353	DB00111
1733681	DB04996
82023	DB01170
56510	DB09269
7975	DB00859
17145	DB00600
21212	DB01211
7973	DB01359
21216	DB00766
25194	DB08970
25193	DB06623
25190	DB00623
1851	DB09300
21183	DB04272
1311286	DB09449
6064	DB00982
52151	DB06794
6066	DB08941
43611	DB00654
2177	DB01140
9549	DB12403
39085	DB11340
2178	DB01326
6069	DB00602
24460	DB06689
805452	DB05332
1373478	DB08908
317246	DB09409
2601	DB09218
8136	DB04823
5496	DB11072
1925820	DB00140
1925821	DB03247
42987	DB09490
49276	DB00590
3264	DB01234
3267	DB08997
3268	DB01191
28908	DB09212
10030	DB11092
1364388	DB04147
10032	DB06718
46241	DB11081
106047	DB00981
8896	DB00852
142136	DB05381
142135	DB00828
236650	DB08970
236651	DB01482
236878	DB00876
54828	DB09555
236875	DB00906
26867	DB06787
59161	DB03312
10379	DB00624
30145	DB00764
37935	DB06764
236897	DB08841
1423270	DB09397
9036	DB03088
1600711	DB00790
59768	DB00061
7019	DB01618
38508	DB11678
307306	DB00862
10255	DB00870
59763	DB00649
10256	DB04786
1364277	DB11263
18699	DB00626
20033	DB00201
232158	DB00533
1737	DB01158
732	DB00681
54220	DB06694
71225	DB00714
71227	DB00252
1092437	DB08879
8132	DB01620
67182	DB08792
1370593	DB11695
1364503	DB08903
29899	DB06800
24346	DB00199
24347	DB00199
6883	DB00353
2955	DB11672
1311292	DB11136
1598	DB00266
1362737	DB09502
5340	DB00117
47877	DB01231
91406	DB00819
1029	DB07402
62174	DB01089
1049105	DB01086
33562	DB00529
1311569	DB11180
37665	DB09164
1370971	DB04938
226724	DB09510
1311560	DB13116
692620	DB00743
89903	DB13620
1311567	DB11185
1311565	DB09348
30031	DB00805
115552	DB00685
47613	DB11093
1655922	DB09280
8076	DB00850
47589	DB12926
37864	DB00624
1876597	DB11691
5640	DB01050
10772	DB01021
3108	DB00250
